	Class	Numeric1	Numeric2	Numeric3	Numeric4	Numeric5	Numeric6	Numeric7	Numeric8	Numeric9	Numeric10	Numeric11	Numeric12	Numeric13	Numeric14	Numeric15	Numeric16	Numeric17	Numeric18	Numeric19	Numeric20	Discrete1_B	Discrete1_C	Discrete2_B	Discrete2_C	Discrete3_B	Discrete3_C	Discrete4_B	Discrete4_C	Discrete5_B	Discrete5_C	Discrete6_B	Discrete6_C	Discrete7_B	Discrete7_C	Discrete8_B	Discrete8_C	Discrete9_B	Discrete9_C	Discrete10_B	Discrete10_C
Instance1	1	-0.9855107376841508	0.9363985435524596	-0.3265609776792077	-1.6492169744171319	-1.6312195076535332	-0.5413595884312206	0.04730450004105715	0.06295935526390484	-0.7673321827911168	0.8205020637264593	2.1641729293747125	0.06357076620094161	1.5265872478201967	-0.7570881434918421	0.4806742089670626	-0.7484238837311473	1.2880225937496177	0.7821814815597485	0.5227888936875978	0.4724800873649978	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0
Instance2	1	-1.4718350074635869	-0.5256405931019397	-0.008209882269614045	1.3985620921255355	-0.3014723148616932	0.09152194677887708	0.2396239140894969	-0.8716452127708096	-2.3696232933022143	0.490995172696374	0.537852533036873	-0.33568239814629963	0.3694509881536074	-0.4750105259755824	3.003123295365933	-1.71668242662912	1.3663510926782034	-2.061739218172606	-0.8071406124381605	1.4606692800234315	0	0	0	1	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0
Instance3	1	1.6481349322075596	0.2711701846373109	-0.522619416398478	-0.3979120985908414	-0.2562326979954389	1.053439748630448	-0.9782206161996708	0.3619607107010485	-0.2605598440471242	-1.178042323216892	0.3326438661438504	-1.1476477053394685	0.7817362707465177	0.08076917008981778	-0.15127213054099092	-0.1572054446544513	-2.084140072890655	0.8627902322502984	-1.4427750900305292	0.04915029228377404	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Instance4	1	0.16422775548733395	-0.8014968853943748	1.042977594646376	0.7825788808419775	0.8576619101224521	-0.5634076631181697	-1.5230001361792946	-0.2927120959421425	0.12895705059199475	-0.3410792095360093	1.2569468462776	0.1429802718594958	0.8075862325037932	1.2956811543494335	-0.7243952483412442	0.8618949755031119	1.0545402419640442	-0.3878584441440434	-0.5251013602877768	0.4095941194469692	0	0	1	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0
Instance5	0	0.5672902778526694	-0.6471814318477607	0.4140913537935951	-1.7232282507163232	-0.11059050280820727	1.0147376948297768	0.1623630373820347	0.6218215275108925	-1.2076664347223254	0.4586801260429109	0.2456189311599763	-0.6482725502646103	0.3952428111918188	0.5300829312296075	0.03878974917388288	-0.9956087389318866	-0.6584460904167826	-0.16527615099894225	-0.4712083482463018	-0.5304942031264823	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
Instance6	1	-0.2226751005151545	0.4722471500878487	-0.5072344618949226	1.7975393871259049	-0.4324319785784447	1.4403036410176226	-0.010291316333718412	-0.803239476184825	-0.5454435908354702	1.1928086450620712	-1.9654610021765908	0.00722583254743737	-0.9362884948331062	-0.42463481893200783	-0.11981861343599395	-1.1582169522761951	0.7016707295444812	0.014210155537363168	-0.4328814293579883	1.3007169121483508	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1
Instance7	0	-0.3534317487571991	0.9304084961111164	0.1546688336463322	-0.3568715280255985	1.0770374729475365	0.9903228106559456	0.0020750219193663992	-0.9219676593093836	1.5532826501447632	1.5076155266493678	-0.3942227139947447	0.4359221871853911	-0.724719706421419	-0.600746567457596	0.82084860263088	1.3176295266235865	-1.4842098896428475	0.0475623898050641	-0.06250803764657012	-1.6952812487625322	1	0	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0
Instance8	1	-1.6164741886510323	-0.17531640232701995	1.0415683888185818	0.5456573234700275	-0.22482656127015144	1.6264314909922573	1.0268005788509675	1.7740563377039371	0.10729133565966206	0.2159299177751089	-0.6392866782525531	-0.8878523966482759	-0.03280132932161837	1.3769871522704034	-1.007497187143546	-1.623300062177118	0.7018342167404527	0.8808799388174131	0.2701307134570352	-0.37566904263144	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1
Instance9	1	-0.2918373627478628	-1.4219198716404369	-0.039267991037953184	0.1508182063325938	-0.5762418162269032	1.2926460210124688	-1.4751604830313656	0.028756237713686263	1.5353435440347976	1.0762003235376418	-0.3373064373960015	2.46539649698735	-0.4716132545477914	0.4140109583585451	-0.6677929170873456	0.17989525484453872	-0.7367026132325494	0.09307317454536268	-1.2395264975924505	0.3484024563859257	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Instance10	0	-0.7614922118116233	1.9979560797500049	-0.9489328108497634	-0.2554707861877694	0.5746089172925728	1.5148822938930058	1.0106937159878049	0.5529638493955362	-0.18495141706103585	-1.3993559707848324	0.11402862897555485	-0.5865577208094377	0.5637686757494066	1.0277614960263626	0.048303270661661485	0.6858589012510461	-1.1353683110933523	1.985357859489261	1.9819504588952943	-1.6185001621773156	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
